Population,Variation,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
2081996,0.3707019610028214,2407000000.0,41000000.0,-67000000.0,40000000.0,41000000.0,0.0,5.0,1.7607758620689655,3.9676724137931036
25570512,12.60775302426482,14082000000.0,82000000.0,-15000000.0,0.0,73000000.0,-0.66,11.0,5.743589743589744,39.53113553113553
31104646,6.547115180156695,138863000000.0,1621000000.0,157000000.0,68000000.0,1220000000.0,0.05,5.0,0.8879160216718266,0.8107585139318886
17670196,12.870151525200967,26100000000.0,98000000.0,48000000.0,0.0,91000000.0,-0.21,19.0,1.2610837438423645,59.320197044334975
496402,19.976752712519282,153000000.0,12000000.0,0.0,12000000.0,7000000.0,0.13,8.0,3.087912087912088,2.7472527472527473
18512430,13.68234208042921,17790000000.0,52000000.0,-16000000.0,1000000.0,52000000.0,-1.72,9.0,7.194312796208531,54.33175355450237
437933,3.681841742915005,196000000.0,14000000.0,-105000000.0,9000000.0,12000000.0,1.04,11.0,7.589285714285714,6.982142857142857
35581255,6.57468377661214,34474000000.0,746000000.0,-34000000.0,3000000.0,746000000.0,-0.49,6.0,2.578014184397163,6.7965084560829245
1264499,0.8707796526529454,4336000000.0,49000000.0,-127000000.0,2000000.0,48000000.0,0.94,8.0,1.3602305475504324,0.9899135446685879
4282570,13.45021797658882,1796000000.0,22000000.0,2000000.0,24000000.0,22000000.0,-1.01,5.0,2.1914893617021276,2.4468085106382977
124777324,6.0132472467513365,183278000000.0,4219000000.0,-127000000.0,972000000.0,4058000000.0,-0.71,7.0,1.7694713918036034,3.67883587408434
3113786,9.284131921718455,1679000000.0,9000000.0,-7000000.0,10000000.0,9000000.0,0.49,2.0,6.409090909090909,25.696969696969695
627563,0.26100965162063944,387000000.0,10000000.0,-52000000.0,8000000.0,10000000.0,0.5,11.0,19.46153846153846,25.923076923076923
28649018,13.21634828809839,19463000000.0,116000000.0,-14000000.0,24000000.0,103000000.0,-0.23,10.0,4.718032786885246,23.70327868852459
53382523,3.688134035927832,70428000000.0,1666000000.0,-118000000.0,3000000.0,1621000000.0,-1.14,1.0,1.1496618641576006,9.187591884739783
2402633,8.650925880065742,2026000000.0,28000000.0,-28000000.0,29000000.0,28000000.0,0.0,19.0,1.0600706713780919,1.6042402826855124
27632681,2.3288294031259578,26038000000.0,58000000.0,-7000000.0,0.0,55000000.0,-1.13,21.0,37.91954022988506,219.183908045977
6384846,6.301169989064729,12022000000.0,138000000.0,-71000000.0,6000000.0,138000000.0,-0.25,3.0,0.6552132701421801,1.8755924170616114
21602382,17.62385277697618,14423000000.0,21000000.0,-2000000.0,3000000.0,20000000.0,-1.32,8.0,3.697749196141479,34.861736334405144
190873244,12.387514092860501,200878000000.0,202000000.0,-3000000.0,0.0,192000000.0,-2.09,-7.0,13.693165969316597,167.70153417015342
5296326,5.336095247913368,8263000000.0,102000000.0,-64000000.0,2000000.0,101000000.0,1.35,8.0,1.4460575007116425,1.4093367492171933
277150,5.9523723615370585,89000000.0,11000000.0,-138000000.0,9000000.0,11000000.0,0.0,5.0,29.8,31.4
4702034,4.967573607506865,28659000000.0,168000000.0,-52000000.0,1000000.0,164000000.0,1.45,9.0,0.09937414747653053,0.1389713552114258
4665928,25.030369092707815,1845000000.0,114000000.0,-52000000.0,126000000.0,101000000.0,0.46,7.0,3.455721393034826,3.297512437810945
41166588,16.05157075441862,29825000000.0,66000000.0,-6000000.0,0.0,62000000.0,-0.84,6.0,0.8950836289913837,11.256969082615306
207906209,9.920858111553569,197409000000.0,1282000000.0,-22000000.0,2000000.0,1218000000.0,-2.6,9.0,1.0621704475781728,11.975843041079093
4106769,8.185096361640989,5352000000.0,192000000.0,-66000000.0,20000000.0,139000000.0,-0.14,7.0,2.703204047217538,4.51602023608769
6867061,6.488190508282944,32070000000.0,41000000.0,-17000000.0,1000000.0,41000000.0,-0.74,8.0,0.060426651630485856,0.4314444131190678
17021347,1.3483480478953953,48741000000.0,372000000.0,1184000000.0,608000000.0,346000000.0,1.14,6.0,1.0174091750598706,0.2733325407204851
31444298,6.161721276143607,44186000000.0,1523000000.0,0.0,60000000.0,424000000.0,-0.81,9.0,1.0855124550749784,2.711240550254059
105172925,7.568755932194532,117231000000.0,1521000000.0,-51000000.0,249000000.0,1459000000.0,-1.08,2.0,1.6247357293868923,6.382346723044398
